Date,HSBA,BARC,BA,VOD,BATS,TSCO,PRU,AVIVA,GSK,BP
22/01/2016,4.795,1.908,4.927,2.194,36.255,1.606,13.25,4.72,13.915,3.527
25/01/2016,4.734,1.818,4.958,2.185,36.57,1.557,13.005,4.64,14,3.501
26/01/2016,4.745,1.83,5.025,2.186,36.83,1.603,13.19,4.653,14.155,3.565
27/01/2016,4.801,1.818,5.07,2.232,37.64,1.61,13.345,4.732,14.36,3.629
28/01/2016,4.776,1.784,5.055,2.153,37.685,1.662,13.21,4.64,14.145,3.684
29/01/2016,4.923,1.86,5.16,2.239,38.97,1.734,13.675,4.808,14.39,3.761
01/02/2016,4.844,1.828,5.09,2.254,38.64,1.718,13.265,4.755,14.345,3.669
02/02/2016,4.676,1.738,5.01,2.215,38.565,1.711,12.175,4.553,14.26,3.351
03/02/2016,4.494,1.656,4.863,2.129,38.05,1.683,12.355,4.425,14.31,3.324
04/02/2016,4.595,1.736,4.898,2.103,37.535,1.699,12.625,4.44,14.125,3.509
05/02/2016,4.578,1.731,4.79,2.07,37.265,1.746,12.28,4.316,14.01,3.506
08/02/2016,4.384,1.639,4.675,2.002,37.31,1.726,11.615,4.138,13.625,3.439
09/02/2016,4.325,1.563,4.699,2.011,37.365,1.738,11.26,4.072,13.605,3.344
10/02/2016,4.414,1.59,4.705,2.021,36.925,1.813,11.755,4.2,13.59,3.301
11/02/2016,4.201,1.478,4.597,2.006,36.81,1.796,10.87,4.005,13.455,3.103
12/02/2016,4.404,1.572,4.671,2.054,37.085,1.77,11.575,4.192,13.635,3.325
15/02/2016,4.464,1.607,4.817,2.094,37.75,1.788,11.94,4.281,14.11,3.328
16/02/2016,4.482,1.614,4.88,2.11,38.44,1.806,11.835,4.293,14.175,3.374
17/02/2016,4.569,1.681,4.993,2.173,38.9,1.868,12.48,4.478,14.24,3.499
18/02/2016,4.488,1.617,5.05,2.155,38.495,1.867,12.465,4.413,13.8,3.454
19/02/2016,4.498,1.617,5.055,2.129,38.3,1.833,12.295,4.369,13.835,3.433
22/02/2016,4.459,1.651,5.1,2.156,38.635,1.846,12.535,4.342,13.915,3.566
23/02/2016,4.413,1.616,5.085,2.139,38.43,1.796,12.2,4.213,13.78,3.454
24/02/2016,4.338,1.567,5.035,2.108,38.34,1.767,11.87,4.125,13.605,3.35
25/02/2016,4.488,1.648,5.125,2.18,38.775,1.806,12.33,4.239,14.07,3.384
26/02/2016,4.673,1.691,5.12,2.188,39.15,1.841,12.46,4.359,14.105,3.495
29/02/2016,4.596,1.721,5.13,2.197,39.255,1.804,12.575,4.382,13.995,3.514
01/03/2016,4.609,1.581,5.11,2.226,40,1.839,13.07,4.527,14.15,3.506
02/03/2016,4.716,1.624,5.045,2.217,39.685,1.816,13.295,4.605,13.96,3.529
03/03/2016,4.505,1.663,4.997,2.212,39.58,1.861,13.405,4.622,13.7,3.62
04/03/2016,4.535,1.743,5.07,2.212,40.445,1.908,13.465,4.661,13.7,3.679
07/03/2016,4.503,1.737,5.005,2.183,40.085,1.918,13.265,4.619,13.75,3.655
08/03/2016,4.488,1.72,4.967,2.176,40.125,1.951,13.265,4.596,14,3.542
